state_abbrev;state;municipality;geocode;urb2000;rur2000;tot2000;prop_urb2000;prop_rur2000;urb2010;rur2010;tot2010;prop_urb2010;prop_rur2010;pop_estimated2006;pop_estimated2017;urb2006e;rur2006e;urb2017e;rur2017e
RO;Rondônia;Alta Floresta D'Oeste;1100015;12341;14192;26533;0.465118908529002;0.534881091470998;13970;10422;24392;0.572728763529026;0.427271236470974;29005;25437;166.119.977.861.594;123.930.022.138.406;145.685.015.578.878;108.684.984.421.122
RO;Rondônia;Alto Alegre dos Parecis;1100379;2449;10259;12708;0.192713251495121;0.807286748504879;3657;9159;12816;0.285346441947566;0.714653558052434;15454;14045;440.974.391.385.768;110.442.560.861.423;400.769.077.715.356;100.373.092.228.464
RO;Rondônia;Alto Paraíso;1100403;4036;9082;13118;0.30766885195914;0.69233114804086;8202;8933;17135;0.478669390137146;0.521330609862854;16510;20916;790.283.163.116.428;860.716.836.883.572;100.118.489.641.086;109.041.510.358.914
RO;Rondônia;Alvorada D'Oeste;1100346;8546;11286;19832;0.430919725695845;0.569080274304155;8824;8029;16853;0.523586305108883;0.476413694891117;19542;16747;102.319.235.744.378;931.007.642.556.221;876.849.985.165.846;797.850.014.834.154
RO;Rondônia;Ariquemes;1100023;55118;19385;74503;0.739809135202609;0.260190864797391;76525;13828;90353;0.846955828804799;0.153044171195201;86924;107345;736.207.884.630.283;133.032.115.369.717;909.164.734.430.511;164.285.265.569.489
RO;Rondônia;Buritis;1100452;15334;10334;25668;0.597397537790245;0.402602462209755;18122;14261;32383;0.559614612605379;0.440385387394621;42717;39044;23.905.057.406.664;18.811.942.593.336;218.495.929.345.644;171.944.070.654.356
RO;Rondônia;Cabixi;1100031;2672;4846;7518;0.355413673849428;0.644586326150572;2693;3620;6313;0.426580072865516;0.573419927134484;7421;6224;316.565.072.073.499;425.534.927.926.501;265.503.437.351.497;356.896.562.648.503
RO;Rondônia;Cacaulândia;1100601;1850;3522;5372;0.344378257632167;0.655621742367833;2069;3667;5736;0.360704323570432;0.639295676429568;5464;6460;197.088.842.398.884;349.311.157.601.116;233.014.993.026.499;412.985.006.973.501
RO;Rondônia;Cacoal;1100049;51398;22170;73568;0.698646150500217;0.301353849499783;61921;16653;78574;0.788059663501922;0.211940336498078;76422;88507;602.250.956.041.439;161.969.043.958.561;697.487.966.375.646;187.582.033.624.354
RO;Rondônia;Campo Novo de Rondônia;1100700;3000;8463;11463;0.261711593823606;0.738288406176394;3371;9294;12665;0.266166600868535;0.733833399131465;18619;14484;495.575.594.157.126;136.632.440.584.287;385.515.704.697.987;106.288.429.530.201
RO;Rondônia;Candeias do Jamari;1100809;9354;3753;13107;0.713664454108492;0.286335545891508;12887;6892;19779;0.651549623337884;0.348450376662116;17346;25266;113.017.797.664.189;604.422.023.358.107;16.462.052.783.255;880.394.721.674.503
RO;Rondônia;Castanheiras;1100908;774;3438;4212;0.183760683760684;0.816239316239316;836;2739;3575;0.233846153846154;0.766153846153846;4092;3550;956.898.461.538.462;313.510.153.846.154;830.153.846.153.846;271.984.615.384.615
RO;Rondônia;Cerejeiras;1100056;14846;3361;18207;0.81540067007195;0.18459932992805;14419;2610;17029;0.846732045334429;0.15326795466557;17215;17934;145.764.921.604.322;26.385.078.395.678;151.852.925.010.277;274.870.749.897.234
RO;Rondônia;Chupinguaia;1100924;1954;3567;5521;0.353921391052346;0.646078608947654;3663;4638;8301;0.441272135887243;0.558727864112758;6649;10593;293.401.843.151.428;371.498.156.848.572;467.439.573.545.356;591.860.426.454.644
RO;Rondônia;Colorado do Oeste;1100064;14576;7316;21892;0.665813995980267;0.334186004019733;13657;4934;18591;0.734602764778656;0.265397235221344;18342;18467;134.740.839.115.701;486.791.608.842.989;135.659.092.571.674;490.109.074.283.255
RO;Rondônia;Corumbiara;1100072;2073;8386;10459;0.1982025050196;0.8017974949804;2590;6193;8783;0.294887851531367;0.705112148468633;9409;8659;277.459.979.505.864;663.440.020.494.136;255.343.390.641.011;610.556.609.358.989
RO;Rondônia;Costa Marques;1100080;6758;3450;10208;0.662029780564263;0.337970219435737;7497;6181;13678;0.548106448311157;0.451893551688843;11735;17400;643.202.917.093.142;530.297.082.906.858;953.705.220.061.413;786.294.779.938.587
RO;Rondônia;Cujubim;1100940;3196;3340;6536;0.488984088127295;0.511015911872705;11043;4811;15854;0.696543459063959;0.303456540936041;9238;22443;643.466.847.483.285;280.333.152.516.715;156.325.248.517.724;681.047.514.822.758
RO;Rondônia;Espigão D'Oeste;1100098;14262;11426;25688;0.555200872002491;0.444799127997509;20610;8119;28729;0.71739357443698;0.28260642556302;27559;33030;197.706.495.179.087;778.835.048.209.127;236.955.097.636.535;933.449.023.634.655
RO;Rondônia;Governador Jorge Teixeira;1101005;1558;12083;13641;0.114214500403196;0.885785499596804;2361;8151;10512;0.224600456621005;0.775399543378995;18786;9745;421.934.417.808.219;145.666.558.219.178;218.873.144.977.169;755.626.855.022.831
RO;Rondônia;Guajará-Mirim;1100106;33035;5010;38045;0.868313838875016;0.131686161124984;35207;6449;41656;0.845184367198003;0.154815632801997;42082;47451;355.670.485.404.264;651.495.145.957.365;401.048.434.079.124;734.615.659.208.757
RO;Rondônia;Itapuã do Oeste;1101104;3677;3145;6822;0.538991498094401;0.4610085019056;5222;3344;8566;0.609619425636236;0.390380574363764;8699;10310;530.307.938.360.962;339.592.061.639.038;62.851.762.783.096;40.248.237.216.904
RO;Rondônia;Jaru;1100114;29577;24023;53600;0.551809701492537;0.448190298507463;35118;16887;52005;0.675281222959331;0.324718777040669;56242;55871;379.791.665.416.787;182.628.334.583.213;377.286.372.079.608;181.423.627.920.392
RO;Rondônia;Ji-Paraná;1100122;91013;15787;106800;0.852181647940075;0.147818352059925;104858;11752;116610;0.899219620958751;0.100780379041249;113453;132667;102.019.163.656.633;114.338.363.433.668;119.296.769.453.735;133.702.305.462.653
RO;Rondônia;Machadinho D'Oeste;1100130;10981;11758;22739;0.482914815954967;0.517085184045033;16173;14962;31135;0.519447567046732;0.480552432953268;29711;38609;154.333.066.645.255;142.776.933.354.745;200.553.511.161.073;185.536.488.838.927
RO;Rondônia;Ministro Andreazza;1101203;2160;9182;11342;0.19044260271557;0.80955739728443;3074;7278;10352;0.296947449768161;0.703052550231839;11223;10751;333.264.122.874.807;789.035.877.125.193;31.924.820.324.575;75.585.179.675.425
RO;Rondônia;Mirante da Serra;1101302;5733;7421;13154;0.435837007754295;0.564162992245705;6444;5434;11878;0.542515575012628;0.457484424987372;14152;12258;767.768.041.757.872;647.431.958.242.128;66.501.559.185.048;56.078.440.814.952
RO;Rondônia;Monte Negro;1101401;5722;6905;12627;0.453155935693355;0.546844064306644;7390;6701;14091;0.524448229366262;0.475551770633738;16881;16186;885.321.055.993.187;802.778.944.006.813;848.871.904.052.232;769.728.095.947.768
RO;Rondônia;Nova Brasilândia D'Oeste;1100148;6424;10643;17067;0.376398898459014;0.623601101540986;8380;11494;19874;0.421656435543927;0.578343564456073;18005;21747;75.919.241.219.684;104.130.758.780.316;916.976.250.377.377;125.772.374.962.262
RO;Rondônia;Nova Mamoré;1100338;7247;7531;14778;0.490391121938016;0.509608878061984;13067;9479;22546;0.579570655548656;0.420429344451344;20343;28891;117.902.058.458.263;855.279.415.417.369;167.443.758.094.562;121.466.241.905.438
RO;Rondônia;Nova União;1101435;1329;6904;8233;0.161423539414551;0.838576460585449;1541;5952;7493;0.20565861470706;0.79434138529294;9526;7769;195.910.396.369.945;756.689.603.630.055;159.776.177.765.915;617.123.822.234.085
