municipality;geocode;Disease_Burden
Abaetetuba;1500107;2207
Abel Figueiredo;1500131;254
Abreulândia;1700251;248
Acará;1500206;628
Acorizal;5100102;30
Acrelândia;1200013;11751
Afuá;1500305;6248
Aguiarnópolis;1700301;146
Alcântara;2100204;3985
Alenquer;1500404;23268
Aliança do Tocantins;1700350;39
Almas;1700400;396
Almeirim;1500503;5752
Alta Floresta;5100250;3521
Alta Floresta D'Oeste;1100015;3420
Altamira;1500602;49108
Altamira do Maranhão;2100402;216
Alto Alegre;1400050;10322
Alto Alegre do Maranhão;2100436;318
Alto Alegre do Pindaré;2100477;2437
Alto Alegre dos Parecis;1100379;936
Alto Araguaia;5100300;181
Alto Boa Vista;5100359;600
Alto Garças;5100409;63
Alto Paraguai;5100508;170
Alto Paraíso;1100403;38021
Alto Parnaíba;2100501;68
Alto Taquari;5100607;63
Alvarães;1300029;27402
Alvorada;1700707;56
Alvorada D'Oeste;1100346;4102
Amajari;1400027;7682
Amapá;1600105;469
Amapá do Maranhão;2100550;1941
Amarante do Maranhão;2100600;1543
Amaturá;1300060;422
Anajatuba;2100709;58
Anajás;1500701;113785
Anamã;1300086;2652
Ananindeua;1500800;5629
Ananás;1701002;654
Anapu;1500859;17694
Angico;1701051;53
Anori;1300102;1108
Aparecida do Rio Negro;1701101;148
Apiacás;5100805;742
Apicum-Açu;2100832;505
Apuí;1300144;14617
Aragominas;1701309;129
Araguacema;1701903;331
Araguaiana;5101001;414
Araguainha;5101209;16
Araguanã;1702158;274
Araguanã;2100873;538
Araguatins;1702208;933
Araguaçu;1702000;357
Araguaína;1702109;6163
Arame;2100956;1292
Arapoema;1702307;85
Araputanga;5101258;900
Arari;2101004;245
Arenápolis;5101308;249
Aripuanã;5101407;6366
Ariquemes;1100023;79733
Arraias;1702406;42
Assis Brasil;1200054;615
Atalaia do Norte;1300201;32854
Augustinópolis;1702554;457
Augusto Corrêa;1500909;26079
Aurora do Pará;1500958;3618
Aurora do Tocantins;1702703;31
Autazes;1300300;40620
Aveiro;1501006;678
Axixá;2101103;809
Axixá do Tocantins;1702901;142
Açailândia;2100055;2046
Babaçulândia;1703008;189
Bacabal;2101202;1693
Bacabeira;2101251;135
Bacuri;2101301;188
Bacurituba;2101350;2
Bagre;1501105;899
Baião;1501204;6801
Balsas;2101400;763
Bandeirantes do Tocantins;1703057;44
Bannach;1501253;187
Barcarena;1501303;1979
Barcelos;1300409;55579
Barra do Bugres;5101704;865
Barra do Corda;2101608;1642
Barra do Garças;5101803;4264
Barra do Ouro;1703073;137
Barreirinha;1300508;151
Barrolândia;1703107;75
Barão de Melgaço;5101605;6
Bela Vista do Maranhão;2101772;184
Belterra;1501451;927
Belém;1501402;21998
Benedito Leite;2101806;18
Benevides;1501501;652
Benjamin Constant;1300607;6225
Bequimão;2101905;350
Bernardo Sayão;1703206;28
Bernardo do Mearim;2101939;126
Beruri;1300631;11518
Boa Vista;1400100;67330
Boa Vista do Gurupi;2101970;3472
Boa Vista do Ramos;1300680;92
Boca do Acre;1300706;24396
Bom Jardim;2102002;2207
Bom Jesus das Selvas;2102036;819
Bom Jesus do Araguaia;5101852;210
Bom Jesus do Tocantins;1501576;1589
Bom Jesus do Tocantins;1703305;95
Bom Lugar;2102077;63
Bonfim;1400159;12042
Bonito;1501600;49
Borba;1300805;61194
Bragança;1501709;12526
Brasil Novo;1501725;4363
Brasilândia do Tocantins;1703602;21
Brasiléia;1200104;2115
Brasnorte;5101902;2041
Brejinho de Nazaré;1703701;26
Brejo Grande do Araguaia;1501758;668
Brejo de Areia;2102150;376
Breu Branco;1501782;22427
Breves;1501808;21267
Bujari;1200138;2340
Bujaru;1501907;1199
Buriti Bravo;2102309;412
Buriti do Tocantins;1703800;194
Buriticupu;2102325;2348
Buritirana;2102358;258
Buritis;1100452;77676
Caapiranga;1300839;19278
Cabixi;1100031;472
Cacaulândia;1100601;1882
Cachoeira Grande;2102374;508
Cachoeira do Arari;1502004;480
Cachoeira do Piriá;1501956;25034
Cachoeirinha;1703826;75
Cacoal;1100049;12135
Cajapió;2102408;10
Cajari;2102507;212
Calçoene;1600204;28618
Cametá;1502103;1927
Campestre do Maranhão;2102556;158
Campinápolis;5102603;476
Campo Novo de Rondônia;1100700;39721
Campo Novo do Parecis;5102637;1435
Campo Verde;5102678;673
Campos Lindos;1703842;397
Campos de Júlio;5102686;148
Canabrava do Norte;5102694;395
Canarana;5102702;654
Canaã dos Carajás;1502152;744
Candeias do Jamari;1100809;69740
Cantanhede;2102705;484
Cantá;1400175;32192
Canutama;1300904;12970
Capanema;1502202;1580
Capinzal do Norte;2102754;121
Capitão Poço;1502301;732
Capixaba;1200179;3800
Caracaraí;1400209;32371
Carauari;1301001;5883
Careiro;1301100;101871
Careiro da Várzea;1301159;8213
Cariri do Tocantins;1703867;61
Carlinda;5102793;886
Carmolândia;1703883;18
Caroebe;1400233;8941
Carolina;2102804;450
Carrasco Bonito;1703891;84
Carutapera;2102903;1896
Caseara;1703909;651
Castanhal;1502400;2008
Castanheira;5102850;496
Castanheiras;1100908;903
Cedral;2103109;613
Centenário;1704105;105
Central do Maranhão;2103125;58
Centro Novo do Maranhão;2103174;7958
Centro do Guilherme;2103158;882
Cerejeiras;1100056;1435
Chapada da Natividade;1705102;43
Chapada de Areia;1704600;27
Chapada dos Guimarães;5103007;201
Chaves;1502509;8328
Chupinguaia;1100924;1180
Cidelândia;2103257;269
Cláudia;5103056;1266
Coari;1301209;81027
Cocalinho;5103106;38
Codajás;1301308;5883
Codó;2103307;2803
Colares;1502608;165
Colinas;2103505;1018
Colinas do Tocantins;1705508;496
Colméia;1716703;200
Colniza;5103254;37618
Colorado do Oeste;1100064;954
Colíder;5103205;962
Combinado;1705557;48
Comodoro;5103304;1209
Conceição do Araguaia;1502707;2994
Conceição do Lago-Açu;2103554;2973
Conceição do Tocantins;1705607;28
Concórdia do Pará;1502756;946
Confresa;5103353;850
Conquista D'Oeste;5103361;125
Coroatá;2103604;477
Corumbiara;1100072;386
Costa Marques;1100080;7410
Cotriguaçu;5103379;1284
Couto Magalhães;1706001;155
Cristalândia;1706100;211
Crixás do Tocantins;1706258;57
Cruzeiro do Sul;1200203;308627
Cuiabá;5103403;3386
Cujubim;1100940;42145
Cumaru do Norte;1502764;723
Curionópolis;1502772;1702
Curralinho;1502806;10977
Cururupu;2103703;385
Curuá;1502855;639
Curuçá;1502905;933
Curvelândia;5103437;52
Cutias;1600212;256
Cáceres;5102504;1339
Cândido Mendes;2102606;4893
Darcinópolis;1706506;50
Davinópolis;2103752;180
Denise;5103452;43
Diamantino;5103502;695
Dianópolis;1707009;384
Divinópolis do Tocantins;1707108;154
Dois Irmãos do Tocantins;1707207;121
Dom Aquino;5103601;104
Dom Eliseu;1502939;2448
Dom Pedro;2103802;187
Dueré;1707306;269
Eirunepé;1301407;10767
Eldorado do Carajás;1502954;2594
Envira;1301506;453
Epitaciolândia;1200252;1290
Esperantina;1707405;396
Esperantinópolis;2104008;505
Espigão D'Oeste;1100098;4958
Estreito;2104057;565
Faro;1503002;2512
Feijó;1200302;1724
Feira Nova do Maranhão;2104073;80
Feliz Natal;5103700;1215
Fernando Falcão;2104081;45
Ferreira Gomes;1600238;3504
Figueirópolis;1707652;193
Figueirópolis D'Oeste;5103809;147
Filadélfia;1707702;79
Floresta do Araguaia;1503044;466
Fonte Boa;1301605;1854
Formosa da Serra Negra;2104099;235
Formoso do Araguaia;1708205;458
Fortaleza do Tabocão;1708254;48
Fortaleza dos Nogueiras;2104107;98
Fortuna;2104206;770
Fátima;1707553;70
Garrafão do Norte;1503077;649
Gaúcha do Norte;5103858;553
General Carneiro;5103908;462
Glória D'Oeste;5103957;26
Godofredo Viana;2104305;389
Goianorte;1708304;86
Goianésia do Pará;1503093;32336
Goiatins;1709005;174
Gonçalves Dias;2104404;576
Governador Archer;2104503;161
Governador Edison Lobão;2104552;134
Governador Eugênio Barros;2104602;490
Governador Jorge Teixeira;1101005;2168
Governador Luiz Rocha;2104628;233
Governador Newton Bello;2104651;432
Governador Nunes Freire;2104677;5280
Grajaú;2104800;968
Graça Aranha;2104701;146
Guajará;1301654;49954
Guajará-Mirim;1100106;30881
Guarantã do Norte;5104104;1506
Guaraí;1709302;479
Guimarães;2104909;1206
Guiratinga;5104203;243
Gurupi;1709500;1975
Gurupá;1503101;407
Humaitá;1301704;55259
Icatu;2105104;3080
Igarapé Grande;2105203;54
Igarapé do Meio;2105153;188
Igarapé-Açu;1503200;951
Igarapé-Miri;1503309;674
Imperatriz;2105302;4257
Indiavaí;5104500;84
Inhangapi;1503408;287
Ipiranga do Norte;5104526;169
Ipixuna;1301803;17170
Ipixuna do Pará;1503457;12437
Ipueiras;1709807;15
Iracema;1400282;10284
Iranduba;1301852;60596
Irituia;1503507;878
Itacajá;1710508;134
Itacoatiara;1301902;56397
Itaguatins;1710706;95
Itaipava do Grajaú;2105351;252
Itaituba;1503606;86022
Itamarati;1301951;1183
Itanhangá;5104542;165
Itapecuru Mirim;2105401;1234
Itapiranga;1302009;12327
Itapiratins;1710904;66
Itaporã do Tocantins;1711100;59
Itapuã do Oeste;1101104;42598
Itaubal;1600253;234
Itaúba;5104559;632
Itinga do Maranhão;2105427;1097
Itiquira;5104609;86
Itupiranga;1503705;39371
Jacareacanga;1503754;62316
Jaciara;5104807;551
Jacundá;1503804;12761
Jangada;5104906;71
Japurá;1302108;6472
Jaru;1100114;15416
Jatobá;2105450;181
Jauru;5105002;208
Jaú do Tocantins;1711506;72
Jenipapo dos Vieiras;2105476;349
Ji-Paraná;1100122;21311
Jordão;1200328;2766
Joselândia;2105609;678
João Lisboa;2105500;465
Juara;5105101;1864
Juarina;1711803;32
Junco do Maranhão;2105658;863
Juruena;5105176;3567
Juruti;1503903;748
Juruá;1302207;5171
Juscimeira;5105200;196
Jutaí;1302306;27811
Juína;5105150;6259
Lago Verde;2105906;795
Lago da Pedra;2105708;2426
Lago do Junco;2105807;152
Lago dos Rodrigues;2105948;70
Lagoa Grande do Maranhão;2105963;627
Lagoa da Confusão;1711902;120
Lagoa do Tocantins;1711951;6
Lajeado;1712009;197
Lajeado Novo;2105989;92
Lambari D'Oeste;5105234;76
Laranjal do Jari;1600279;13800
Lavandeira;1712157;32
Lima Campos;2106003;124
Limoeiro do Ajuru;1504000;79
Lizarda;1712405;35
Loreto;2106102;17
Lucas do Rio Verde;5105259;1733
Luciara;5105309;42
Luzinópolis;1712454;79
Luís Domingues;2106201;340
Lábrea;1302405;48563
Macapá;1600303;50101
Machadinho D'Oeste;1100130;83831
Magalhães Barata;1504109;1631
Manacapuru;1302504;81882
Manaquiri;1302553;14033
Manaus;1302603;678111
Manicoré;1302702;62415
Manoel Urbano;1200344;406
Marabá;1504208;32920
Maracanã;1504307;7172
Maracaçumé;2106326;5602
Marajá do Sena;2106359;278
Maranhãozinho;2106375;815
Marapanim;1504406;5822
Maraã;1302801;7818
Marcelândia;5105580;3338
Marechal Thaumaturgo;1200351;2196
Marianópolis do Tocantins;1712504;421
Marituba;1504422;2243
Mateiros;1712702;9
Matinha;2106508;93
Matupá;5105606;1176
Matões do Norte;2106631;342
Maurilândia do Tocantins;1712801;65
Maués;1302900;4131
Mazagão;1600402;29843
Medicilândia;1504455;6788
Melgaço;1504505;909
Ministro Andreazza;1101203;625
Miracema do Tocantins;1713205;605
Mirador;2106706;567
Miranda do Norte;2106755;440
Miranorte;1713304;162
Mirante da Serra;1101302;3133
Mirassol d'Oeste;5105622;372
Mirinzal;2106805;315
Mocajuba;1504604;799
Moju;1504703;22103
Mojuí dos Campos;1504752;0
Monte Alegre;1504802;5097
Monte Negro;1101401;12896
Monte Santo do Tocantins;1713700;64
Monte do Carmo;1713601;189
Montes Altos;2107001;214
Monção;2106904;3171
Morros;2107100;449
Muaná;1504901;2120
Mucajaí;1400308;16788
Muricilândia;1713957;34
Mâncio Lima;1200336;106841
Mãe do Rio;1504059;897
Natividade;1714203;350
Nazaré;1714302;60
Nhamundá;1303007;3096
Nobres;5105903;275
Normandia;1400407;2277
Nortelândia;5106000;158
Nossa Senhora do Livramento;5106109;167
Nova Bandeirantes;5106158;484
Nova Brasilândia;5106208;272
Nova Brasilândia D'Oeste;1100148;2229
Nova Canaã do Norte;5106216;637
Nova Colinas;2107258;43
Nova Esperança do Piriá;1504950;4952
Nova Guarita;5108808;190
Nova Iorque;2107308;219
Nova Ipixuna;1504976;8118
Nova Lacerda;5106182;495
Nova Mamoré;1100338;63345
Nova Marilândia;5108857;151
Nova Maringá;5108907;688
Nova Monte Verde;5108956;141
Nova Mutum;5106224;969
Nova Nazaré;5106174;10
Nova Olinda;1714880;155
Nova Olinda do Maranhão;2107357;1035
Nova Olinda do Norte;1303106;4131
Nova Olímpia;5106232;359
Nova Rosalândia;1715002;90
Nova Santa Helena;5106190;248
Nova Timboteua;1505007;252
Nova Ubiratã;5106240;1962
Nova União;1101435;830
Nova Xavantina;5106257;215
Novo Acordo;1715101;14
Novo Airão;1303205;24893
Novo Alegre;1715150;50
Novo Aripuanã;1303304;30653
Novo Horizonte do Norte;5106273;145
Novo Horizonte do Oeste;1100502;1065
Novo Jardim;1715259;63
Novo Mundo;5106265;367
Novo Progresso;1505031;28300
Novo Repartimento;1505064;60647
Novo Santo Antônio;5106315;14
Novo São Joaquim;5106281;203
Oeiras do Pará;1505205;632
